isin,per_isin_id,issuer_name,issuer_sector,bond_label,bond_amount,bond_currency,bond_USD_amount,total_USD_allocated,pre_icma_category,pre_category_as_reported,pre_subcategory,pre_subcategory_as_reported,pre_subcategory_description,pre_eligibility_criteria,pre_exclusions,post_icma_category,post_category_as_reported,post_subcategory,post_subcategory_as_reported,post_allocation_detail,eu_tax_category,post_allocation_value,post_allocation_currency,post_allocation_USD,post_allocation_share_of_total,pre_source_detail,post_source_detail,source_trail
BE0000346552,11,Belgium,SSA,Green,12455000000,EUR,15343960971.76,2134972650.67,Energy Efficiency,Energy Efficiency,Industrial Process Efficiency,Machinery and Pipe Insulation,"Limiting energy losses with insulation, for example, of machineries and pipes",,,,,,,,,,,,,https://source.arctal.ai/entities/kingdom-of-belgium/green-bond-framework__2018__kingdom-belgium-olo-obligation-lineaire-issued-belgian-debt__2018-02-XX__43b677a3824b.pdf#page=9,,
BE0000346552,12,Belgium,SSA,Green,12455000000,EUR,15343960971.76,2134972650.67,Energy Efficiency,Energy Efficiency,Industrial Process Efficiency,Oven Ventilation Systems,Limiting energy losses due to ventilation systems in ovens,,,,,,,,,,,,,https://source.arctal.ai/entities/kingdom-of-belgium/green-bond-framework__2018__kingdom-belgium-olo-obligation-lineaire-issued-belgian-debt__2018-02-XX__43b677a3824b.pdf#page=9,,
BE0000346552,13,Belgium,SSA,Green,12455000000,EUR,15343960971.76,2134972650.67,Energy Efficiency,Energy Efficiency,Industrial Process Efficiency,Gas Handling Systems,Reutilization of energy from gas handling pressuring systems,,,,,,,,,,,,,https://source.arctal.ai/entities/kingdom-of-belgium/green-bond-framework__2018__kingdom-belgium-olo-obligation-lineaire-issued-belgian-debt__2018-02-XX__43b677a3824b.pdf#page=9,,
BE0000346552,14,Belgium,SSA,Green,12455000000,EUR,15343960971.76,2134972650.67,Energy Efficiency,Energy Efficiency,Industrial Process Efficiency,Industrial Processes,Energy efficiency investments in industrial processes,,,,,,,,,,,,,https://source.arctal.ai/entities/kingdom-of-belgium/green-bond-framework__2018__kingdom-belgium-olo-obligation-lineaire-issued-belgian-debt__2018-02-XX__43b677a3824b.pdf#page=9,,
BE0000346552,15,Belgium,SSA,Green,12455000000,EUR,15343960971.76,2134972650.67,Energy Efficiency,Energy Efficiency,Industrial Process Efficiency,Production Facility Efficiency,Improve energy efficiency of private sector production facilities,,,,,,,,,,,,,https://source.arctal.ai/entities/kingdom-of-belgium/green-bond-framework__2018__kingdom-belgium-olo-obligation-lineaire-issued-belgian-debt__2018-02-XX__43b677a3824b.pdf#page=3,,
BE0000346552,16,Belgium,SSA,Green,12455000000,EUR,15343960971.76,2134972650.67,Energy Efficiency,Energy Efficiency,LED Lighting,HVAC and Lighting Systems,"Renewal or improvement of heating, air conditioning or lighting systems",,,,,,,,,,,,,https://source.arctal.ai/entities/kingdom-of-belgium/green-bond-framework__2018__kingdom-belgium-olo-obligation-lineaire-issued-belgian-debt__2018-02-XX__43b677a3824b.pdf#page=9,,
BE0000346552,17,Belgium,SSA,Green,12455000000,EUR,15343960971.76,2134972650.67,Energy Efficiency,Energy Efficiency,Smart Grids,Demand-Side Management,Promote demand-side management (DSM) measures,,,,,,,,,,,,,https://source.arctal.ai/entities/kingdom-of-belgium/green-bond-framework__2018__kingdom-belgium-olo-obligation-lineaire-issued-belgian-debt__2018-02-XX__43b677a3824b.pdf#page=3,,
BE0000346552,18,Belgium,SSA,Green,12455000000,EUR,15343960971.76,2134972650.67,Environmentally Sustainable Management of Living Natural Resources & Land Use,Environmentally Sustainable Management of Living Natural Resources and Land Use,Sustainable Agriculture,Environmentally Sustainable Management of Living Natural Resources & Land Use,"Improve the resilience to climate change and other natural disasters, including in developing countries; preserve the biodiversity and enhance environment protection (including pollution prevention and control); develop pollution monitoring and control systems; mitigate non-CO2 emissions in agriculture",,,,,,,,,,,,,https://source.arctal.ai/entities/kingdom-of-belgium/green-bond-framework__2018__kingdom-belgium-olo-obligation-lineaire-issued-belgian-debt__2018-02-XX__43b677a3824b.pdf#page=3,,
BE0000346552,19,Belgium,SSA,Green,12455000000,EUR,15343960971.76,2134972650.67,Environmentally Sustainable Management of Living Natural Resources & Land Use,Living Resources and Land Use,Sustainable Agriculture,Sustainable Agriculture,Mitigate non-CO2 emissions in agriculture. Investment expenditures for soil rehabilitation. Investment in sustainable programs for climate change mitigation and adaptation in developing countries,,Large hydro projects exceeding 25MW are explicitly excluded from Renewable Energy category,,,,,,,,,,,https://source.arctal.ai/entities/kingdom-of-belgium/green-bond-framework__2018__kingdom-belgium-olo-obligation-lineaire-issued-belgian-debt__2018-02-XX__43b677a3824b.pdf#page=4,,
BE0000346552,20,Belgium,SSA,Green,12455000000,EUR,15343960971.76,2134972650.67,Green Buildings,Energy Efficiency,Existing Buildings/Renovation,Green Buildings,"Invest in green buildings and improve buildings energy efficiency (i.e. roof / wall / floor insulation, new boiler, new heat pump, solar heater)",,,,,,,,,,,,,https://source.arctal.ai/entities/kingdom-of-belgium/green-bond-framework__2018__kingdom-belgium-olo-obligation-lineaire-issued-belgian-debt__2018-02-XX__43b677a3824b.pdf#page=3,,
BE0000346552,21,Belgium,SSA,Green,12455000000,EUR,15343960971.76,2134972650.67,Pollution Prevention and Control,Pollution Prevention and Control,Recycling,Eco-efficient & Circular Economy Adapted Products Production Technologies & Processes,Promote sustainable consumption and production modes (including waste reduction and recycling),,,,,,,,,,,,,https://source.arctal.ai/entities/kingdom-of-belgium/green-bond-framework__2018__kingdom-belgium-olo-obligation-lineaire-issued-belgian-debt__2018-02-XX__43b677a3824b.pdf#page=3,,
BE0000346552,22,Belgium,SSA,Green,12455000000,EUR,15343960971.76,2134972650.67,Pollution Prevention and Control,Circular Economy,Recycling,Waste Reduction and Recycling,Promote sustainable consumption and production modes (including waste reduction and recycling). Tax expenditures for reusable packaging,,Large hydro projects exceeding 25MW are explicitly excluded from Renewable Energy category,,,,,,,,,,,https://source.arctal.ai/entities/kingdom-of-belgium/green-bond-framework__2018__kingdom-belgium-olo-obligation-lineaire-issued-belgian-debt__2018-02-XX__43b677a3824b.pdf#page=4,,
BE0000346552,23,Belgium,SSA,Green,12455000000,EUR,15343960971.76,2134972650.67,Renewable Energy,Renewable Energy,Biomass,Biomass Energy Production,Renewable energy production including biomass,,,,,,,,,,,,,https://source.arctal.ai/entities/kingdom-of-belgium/green-bond-framework__2018__kingdom-belgium-olo-obligation-lineaire-issued-belgian-debt__2018-02-XX__43b677a3824b.pdf#page=9,,
BE0000346552,24,Belgium,SSA,Green,12455000000,EUR,15343960971.76,2134972650.67,,,,,,,,Renewable Energy,Renewable Energy,,,Green investments by BIO INVEST,,66000000.0,EUR,81308825.7,0.005299,,https://source.arctal.ai/entities/kingdom-of-belgium/alloc-report__2018__kingdom-belgium-green-olo-impact-detailing-environmental__2019-12-10__6ef98c8def13.pdf#page=5,"Allocation: 66,000,000.00 EUR (denom=bond, entry=category) | FX: EUR→USD ×1.231952 @2018-02-26 = 81,308,826 USD | Pct: 0.5%

Extraction notes:
Category-level aggregation performed as requested in agent guidance
Clean Transportation - Railway combines SNCB/NMBS New Rolling Stock (222M EUR, 68kt) and INFRABEL Railway Infrastructure Maintenance (768M EUR, 1512kt) for total 990M EUR and 1580kt lifetime GHG avoided
Clean Transportation - Tax Exemptions is separate at 404M EUR with 327kt annual GHG avoided
Renewable Energy - Offshore Wind: 173M EUR with 637kt annual GHG avoided
Renewable Energy - BIO INVEST: 66M EUR with 40kt total GHG avoided (28kt operational + 12kt under construction)
Eco-efficient & Circular Economy - Packaging: 100M EUR with 299kt annual GHG avoided
Assessment values converted from kilotons (kt) to tonnes (tCO2e) by multiplying by 1000
Railway investments show lifetime impacts (45 years for M7, 40 years for maintenance), others show 2017-2018 annual impacts
All allocations are for Belgium as this is a Belgian sovereign green bond"
BE0000346552,25,Belgium,SSA,Green,12455000000,EUR,15343960971.76,2134972650.67,Renewable Energy,Renewable Energy,Solar,Renewable Energy Production,Renewable energy production systems installed in new or existing buildings,,,,,,,,,,,,,https://source.arctal.ai/entities/kingdom-of-belgium/green-bond-framework__2018__kingdom-belgium-olo-obligation-lineaire-issued-belgian-debt__2018-02-XX__43b677a3824b.pdf#page=9,,
BE0000346552,26,Belgium,SSA,Green,12455000000,EUR,15343960971.76,2134972650.67,Renewable Energy,Renewable Energy,Wind,"Wind, Solar, Small Hydro","Develop and support/deploy renewable energy technologies and related investments (e.g. wind off-shore, on-shore, solar, hydropower excluding projects >25MW, including supply and storage infrastructure). Federal State's support to renewable energy infrastructure",,Large hydro projects exceeding 25MW are explicitly excluded from Renewable Energy category,Renewable Energy,Renewable Energy,Wind,,"Federal support for offshore windfarms; Offshore windfarms, federal support",,173000000.0,EUR,213127679.5,0.01389,https://source.arctal.ai/entities/kingdom-of-belgium/green-bond-framework__2018__kingdom-belgium-olo-obligation-lineaire-issued-belgian-debt__2018-02-XX__43b677a3824b.pdf#page=4,https://source.arctal.ai/entities/kingdom-of-belgium/alloc-report__2018__kingdom-belgium-green-olo-impact-detailing-environmental__2019-12-10__6ef98c8def13.pdf#page=5,"Allocation: 173,000,000.00 EUR (denom=bond, entry=category) | FX: EUR→USD ×1.231952 @2018-02-26 = 213,127,679 USD | Pct: 1.4%

Extraction notes:
Category-level aggregation performed as requested in agent guidance
Clean Transportation - Railway combines SNCB/NMBS New Rolling Stock (222M EUR, 68kt) and INFRABEL Railway Infrastructure Maintenance (768M EUR, 1512kt) for total 990M EUR and 1580kt lifetime GHG avoided
Clean Transportation - Tax Exemptions is separate at 404M EUR with 327kt annual GHG avoided
Renewable Energy - Offshore Wind: 173M EUR with 637kt annual GHG avoided
Renewable Energy - BIO INVEST: 66M EUR with 40kt total GHG avoided (28kt operational + 12kt under construction)
Eco-efficient & Circular Economy - Packaging: 100M EUR with 299kt annual GHG avoided
Assessment values converted from kilotons (kt) to tonnes (tCO2e) by multiplying by 1000
Railway investments show lifetime impacts (45 years for M7, 40 years for maintenance), others show 2017-2018 annual impacts
All allocations are for Belgium as this is a Belgian sovereign green bond"
BE0000346552,27,Belgium,SSA,Green,12455000000,EUR,15343960971.76,2134972650.67,Terrestrial & Aquatic Biodiversity Conservation,Living Resources and Land Use,Biodiversity Conservation,Biodiversity and Pollution Prevention,"Preserve the biodiversity and enhance environment protection (including pollution prevention and control). Develop pollution monitoring and control systems. Operating expenditures of academic research programs in biodiversity, climate change and other global environmental challenges",,Large hydro projects exceeding 25MW are explicitly excluded from Renewable Energy category,,,,,,,,,,,https://source.arctal.ai/entities/kingdom-of-belgium/green-bond-framework__2018__kingdom-belgium-olo-obligation-lineaire-issued-belgian-debt__2018-02-XX__43b677a3824b.pdf#page=4,,
CND10004PTX1,1,China Three Gorges,Independent Power and Renewable Electricity Producers,Green,4000000000,CNY,627059498.54,627059498.54,Renewable Energy,Renewable Energy,Hydropower,Hydropower,Baihetan Hydropower Station on Jinsha River,,,Renewable Energy,Renewable Energy,Hydropower,Wudongde Hydropower (乌东德),Hydropower generation facility; Wudongde Hydropower,,4000000000.0,CNY,627059498.54,1.0,https://source.arctal.ai/entities/china-three-gorges-corporation/bond-prospectus__2021__china-three-gorges-corporation-first-tranche-green-medium__2021-02-XX__7728ec154d91.pdf#page=25,https://source.arctal.ai/entities/china-three-gorges-corporation/alloc-report__2024__green-bond-impact-china-three-gorges-corporation-h1-green__unk-pub-date__96d1bf9a795a.pdf#page=8,"Allocation: 4,000,000,000.00 CNY (denom=bond, entry=project) | FX: CNY→USD ×0.156765 @2021-11-12 = 627,059,499 USD | Pct: 100.0%

Extraction notes:
Table shows allocation and emission reduction benefits for three bonds (GN012, GN013, GN014) across four hydropower projects
For bond GN014 (21三峡GN014), only Wudongde project has allocation of 40亿元
GHG avoided converted from 28.10万吨 (281,000 tons) to tCO2e
Coal savings of 16.58万吨 (165,800 tons) noted but not mapped to available KPIs
Other emission reduction metrics (SO2, NOx, dust) not mapped as they are not in the relevant_kpis list
Year 2024 inferred from table title '2024年上半年' (first half of 2024)

Additional sources: https://source.arctal.ai/entities/china-three-gorges-corporation/alloc-report__2024__green-bond-impact-china-three-gorges-corporation-h1-green__unk-pub-date__96d1bf9a795a.pdf#page=5"
XS2168683824,1,JP Morgan,Banks,Green,80000000,EUR,91224214.65,91224214.65,Clean Transportation,Clean Transportation,Electric Vehicles,Zero Tailpipe Emissions Vehicles,"Vehicles with zero tailpipe emissions (e.g., electric vehicles)",,Social project categories excluded per agent guidance,,,,,,,,,,,https://source.arctal.ai/entities/jpmorgan-chase/green-bond-framework__2022__jpmorgan-chase-co-october-sustainable-outlining-eligibility__2022-10-XX__30eacd635caf.pdf#page=2,,
XS2168683824,2,JP Morgan,Banks,Green,80000000,EUR,91224214.65,91224214.65,Clean Transportation,Clean Transportation,Public Transport,Clean Mass Transport,Clean mass transportation with less than 50 grams of carbon dioxide per passenger-kilometer,,Social project categories excluded per agent guidance,,,,,,,,,,,https://source.arctal.ai/entities/jpmorgan-chase/green-bond-framework__2022__jpmorgan-chase-co-october-sustainable-outlining-eligibility__2022-10-XX__30eacd635caf.pdf#page=2,,
XS2168683824,3,JP Morgan,Banks,Green,80000000,EUR,91224214.65,91224214.65,Green Buildings,Green Buildings,Certified Buildings,LEED Gold Or Greater,New or existing commercial or residential buildings that meet LEED Gold or greater certification,,Social project categories excluded per agent guidance,,,,,,,,,,,https://source.arctal.ai/entities/jpmorgan-chase/green-bond-framework__2022__jpmorgan-chase-co-october-sustainable-outlining-eligibility__2022-10-XX__30eacd635caf.pdf#page=2,,
XS2168683824,4,JP Morgan,Banks,Green,80000000,EUR,91224214.65,91224214.65,Green Buildings,Green Buildings,Certified Buildings,Energy Star 85 Or Greater,New or existing commercial or residential buildings that meet Energy Star 85 or greater certification,,Social project categories excluded per agent guidance,,,,,,,,,,,https://source.arctal.ai/entities/jpmorgan-chase/green-bond-framework__2022__jpmorgan-chase-co-october-sustainable-outlining-eligibility__2022-10-XX__30eacd635caf.pdf#page=2,,
XS2168683824,5,JP Morgan,Banks,Green,80000000,EUR,91224214.65,91224214.65,Green Buildings,Green Buildings,Residential Buildings,Enterprise Green Communities,Multifamily buildings meeting Enterprise Green Communities certification,,Social project categories excluded per agent guidance,,,,,,,,,,,https://source.arctal.ai/entities/jpmorgan-chase/green-bond-framework__2022__jpmorgan-chase-co-october-sustainable-outlining-eligibility__2022-10-XX__30eacd635caf.pdf#page=2,,
XS2168683824,6,JP Morgan,Banks,Green,80000000,EUR,91224214.65,91224214.65,Renewable Energy,Renewable Energy,Geothermal,Geothermal Energy,Geothermal energy facilities with direct emissions of less than 100 grams of carbon dioxide per kilowatt-hour,,Social project categories excluded per agent guidance,,,,,,,,,,,https://source.arctal.ai/entities/jpmorgan-chase/green-bond-framework__2022__jpmorgan-chase-co-october-sustainable-outlining-eligibility__2022-10-XX__30eacd635caf.pdf#page=2,,
XS2168683824,7,JP Morgan,Banks,Green,80000000,EUR,91224214.65,91224214.65,Renewable Energy,Renewable Energy,Hydrogen,Hydrogen,Hydrogen produced with renewable energy,,Social project categories excluded per agent guidance,,,,,,,,,,,https://source.arctal.ai/entities/jpmorgan-chase/green-bond-framework__2022__jpmorgan-chase-co-october-sustainable-outlining-eligibility__2022-10-XX__30eacd635caf.pdf#page=2,,
XS2168683824,8,JP Morgan,Banks,Green,80000000,EUR,91224214.65,91224214.65,Renewable Energy,Renewable Energy,Solar,Solar Energy,"Development, transmission, construction, installation, operation, acquisition, maintenance, upgrades of solar energy facilities",,Social project categories excluded per agent guidance,Renewable Energy,Renewable Energy,Solar,Residential Solar,Residential solar energy systems,,13271204.011946328,USD,13271204.01,0.145479,https://source.arctal.ai/entities/jpmorgan-chase/green-bond-framework__2022__jpmorgan-chase-co-october-sustainable-outlining-eligibility__2022-10-XX__30eacd635caf.pdf#page=2,https://source.arctal.ai/entities/jpmorgan-chase/alloc-report__2025__jpmorganchase-sustainable-bond-detailing-2-37b-outstanding__unk-pub-date__fb329160f040.pdf#page=4,"Allocation: 650,000,000.00 USD (denom=portfolio, entry=subcategory) | BondShare: bond_amount 80,000,000 EUR / eligible_assets_total 2,370,000,000 EUR = bond_share 0.036000 | Scaled: 650,000,000.00 × bond_share 0.036000 = 23,400,000.00 | Pct: 25.7% | Capped: USD sum 160,848,000 > bond_USD_amount 91,224,215 (from DB), ×0.5671

Extraction notes:
Entry type: category - extracted 3 subcategory rows (Wind, Residential Solar, Utility Solar) within Renewable Energy category
Total allocation for Renewable Energy category: $4,468M across 46 projects
KPI values converted from GWh to MWh (multiplied by 1,000) for re_generation
Report date: November 30, 2025
Location information not specified in table - left empty per instructions"
XS2168683824,9,JP Morgan,Banks,Green,80000000,EUR,91224214.65,91224214.65,,,,,,,,Renewable Energy,Renewable Energy,Solar,Utility Solar,Utility-scale solar energy projects,,38098564.132756695,USD,38098564.13,0.417637,,https://source.arctal.ai/entities/jpmorgan-chase/alloc-report__2025__jpmorganchase-sustainable-bond-detailing-2-37b-outstanding__unk-pub-date__fb329160f040.pdf#page=4,"Allocation: 1,866,000,000.00 USD (denom=portfolio, entry=subcategory) | BondShare: bond_amount 80,000,000 EUR / eligible_assets_total 2,370,000,000 EUR = bond_share 0.036000 | Scaled: 1,866,000,000.00 × bond_share 0.036000 = 67,176,000.00 | Pct: 73.6% | Capped: USD sum 160,848,000 > bond_USD_amount 91,224,215 (from DB), ×0.5671

Extraction notes:
Entry type: category - extracted 3 subcategory rows (Wind, Residential Solar, Utility Solar) within Renewable Energy category
Total allocation for Renewable Energy category: $4,468M across 46 projects
KPI values converted from GWh to MWh (multiplied by 1,000) for re_generation
Report date: November 30, 2025
Location information not specified in table - left empty per instructions"
XS2168683824,10,JP Morgan,Banks,Green,80000000,EUR,91224214.65,91224214.65,Renewable Energy,Renewable Energy,Wind,Wind Energy,"Development, transmission, construction, installation, operation, acquisition, maintenance, upgrades of wind energy facilities",,Social project categories excluded per agent guidance,Renewable Energy,Renewable Energy,Wind,Wind,Wind energy projects,,39854446.5097219,USD,39854446.51,0.436885,https://source.arctal.ai/entities/jpmorgan-chase/green-bond-framework__2022__jpmorgan-chase-co-october-sustainable-outlining-eligibility__2022-10-XX__30eacd635caf.pdf#page=2,https://source.arctal.ai/entities/jpmorgan-chase/alloc-report__2025__jpmorganchase-sustainable-bond-detailing-2-37b-outstanding__unk-pub-date__fb329160f040.pdf#page=4,"Allocation: 1,952,000,000.00 USD (denom=portfolio, entry=subcategory) | BondShare: bond_amount 80,000,000 EUR / eligible_assets_total 2,370,000,000 EUR = bond_share 0.036000 | Scaled: 1,952,000,000.00 × bond_share 0.036000 = 70,272,000.00 | Pct: 77.0% | Capped: USD sum 160,848,000 > bond_USD_amount 91,224,215 (from DB), ×0.5671

Extraction notes:
Entry type: category - extracted 3 subcategory rows (Wind, Residential Solar, Utility Solar) within Renewable Energy category
Total allocation for Renewable Energy category: $4,468M across 46 projects
KPI values converted from GWh to MWh (multiplied by 1,000) for re_generation
Report date: November 30, 2025
Location information not specified in table - left empty per instructions"
XS3358268251,1,Svenska Handelsbanken,Banks,Green,1000000000,EUR,1170565311.26,1170565311.26,Clean Transportation,Clean Transportation,Multi-modal Transport,Infrastructure for personal mobility,"Construction, modernisation, operation, and maintenance of infrastructure enabling low carbon personal mobility",,,,,,,,,,,,,https://source.arctal.ai/entities/svenska-handelsbanken-ab/green-bond-framework__2025__handelsbanken-updated-august-defining-terms-processes__2025-08-XX__e47a50ca2590.pdf#page=8,,
