isin,per_isin_id,issuer_name,bond_amount,bond_currency,bond_USD_amount,post_allocation_region,post_allocation_country,post_allocation_country_code,post_geography_as_reported,post_allocation_value,post_allocation_currency,post_allocation_USD,post_allocation_share_of_total,post_allocation_detail,post_source_detail,source_trail
USY4841PAD43,3,Korea Housing Finance Corporation,500000000,USD,500000000.0,Global,,,,,,499996664.54,0.999993,,,"Calculated as difference between total category allocation ($500,000,000) and sum of reported geographic allocations ($3,335)"
CND10008R9V6,1,China Kangfu International Leasing,338000000,CNY,46379763.7,Asia Pacific,China,CN,China,0.0,CNY,,,"Onshore wind farms: 45MW distributed wind in Henan, 150MW wind farm in Anhui, 100MW wind in Ningxia, 48MW wind farm in Liaoning, 100MW wind in Guangdong; Agrivoltaic/fishery-solar complementary PV projects, distributed rooftop PV, and poverty alleviation solar projects; New energy vehicle leasing - 770 GAC AION electric passenger vehicles; Urban power distribution grid construction and upgrade - 10kV and 0.4kV lines, transformers, switchgear; Green projects with carbon emission reduction benefits (repayment of interest-bearing debt); Urban power distribution grid construction and upgrade project with 10kV and 0.4kV lines, transformers, and switchgear",https://source.arctal.ai/entities/china-kangfu-international-leasing-co-ltd/alloc-report__2024__trustee-management-china-kangfu-international-leasing-co__2025-06-XX__7873ee5ab527.pdf#page=9,"Allocation: 0.00 CNY (denom=bond, entry=aggregated) | FX: CNY→USD ×0.137218 @2024-12-27 = 0 USD | Pct: 0.0%

Aggregated from 6 entries:
project: Wind Power Projects (no allocation)
project: Solar PV Projects (no allocation)
project: EV Leasing (no allocation)
project: Green Power Grid Infrastructure (no allocation)
category: Renewable Energy = 0.00 CNY
category: Affordable Basic Infrastructure (no allocation)

Individual Extracted Value Reasoning:
[1] project: Wind Power Projects: (no allocation)
Extraction notes:
Page 9 shows 5 wind projects (443MW total, ~1,029,945 MWh/year) and partial solar data. Full solar data (8 projects total: 3 centralized + 5 distributed) and EV fleet (770 vehicles) on page 10. No explicit allocation amounts per project in this table - amounts are from the debt repayment table (80,000万元 total) but not mapped to individual projects. Wind projects: Henan Dengfeng 45MW (98,172 MWh), Anhui Dongzhi 150MW (286,043 MWh), Ningxia Taiyanshan 100MW (203,507 MWh), Liaoning Zhangwu 48MW (165,485 MWh), Guangdong Suixi 100MW (276,738.1 MWh). Solar shown: Shanxi Jiangxian 104.84MW distributed (124,088 MWh).
[2] project: Solar PV Projects: (no allocation)
Extraction notes:
Page 10 contains 7 solar PV projects aggregated into one Solar subcategory row: (1) 500MW agrivoltaic/fishery-solar (300MW phase, 67,704 MWh/year), (2) Xiehua Long 20MW centralized PV (31,172.4 MWh in 2021), (3) Qinghai Baineng 10MW grid-connected PV (15,340.9 MWh in 2021), (4) Yuhui Yujiaxian 30MW distributed PV (28,910.5 MWh/year), (5) Hainan Zhongshun 3MW distributed PV (4,000 MWh/year), (6) Guangdong Runuo 4.5MW distributed rooftop PV (4,600 MWh/year), (7) Wucheng 20MW poverty alleviation PV (27,554.9 MWh/year). Total capacity: 565.5 MW (300+20+10+30+3+4.5+20). Total generation: 178,281.7 MWh/year (67,704+31,172.4+15,340.9+28,910.5+4,000+4,600+27,554.9).
Clean Transportation: 770 GAC Aion BEV passenger vehicles under financial lease (sale-leaseback).
Infrastructure green upgrade: Urban power distribution grid project in Xingyi City, Guizhou - 10kV overhead lines 62.97km, 10kV cable 333.28km, 93 box transformers (41,025 kVA total), ring network cabinets, branch boxes, switches, 0.4kV lines. No quantitative KPIs mapped from relevant_kpis list.
No explicit allocation amounts shown in this table; amounts would need to be sourced from bond use-of-proceeds breakdown elsewhere in document.
[3] project: EV Leasing: (no allocation)
Extraction notes:
Page 10 contains 7 solar PV projects aggregated into one Solar subcategory row: (1) 500MW agrivoltaic/fishery-solar (300MW phase, 67,704 MWh/year), (2) Xiehua Long 20MW centralized PV (31,172.4 MWh in 2021), (3) Qinghai Baineng 10MW grid-connected PV (15,340.9 MWh in 2021), (4) Yuhui Yujiaxian 30MW distributed PV (28,910.5 MWh/year), (5) Hainan Zhongshun 3MW distributed PV (4,000 MWh/year), (6) Guangdong Runuo 4.5MW distributed rooftop PV (4,600 MWh/year), (7) Wucheng 20MW poverty alleviation PV (27,554.9 MWh/year). Total capacity: 565.5 MW (300+20+10+30+3+4.5+20). Total generation: 178,281.7 MWh/year (67,704+31,172.4+15,340.9+28,910.5+4,000+4,600+27,554.9).
Clean Transportation: 770 GAC Aion BEV passenger vehicles under financial lease (sale-leaseback).
Infrastructure green upgrade: Urban power distribution grid project in Xingyi City, Guizhou - 10kV overhead lines 62.97km, 10kV cable 333.28km, 93 box transformers (41,025 kVA total), ring network cabinets, branch boxes, switches, 0.4kV lines. No quantitative KPIs mapped from relevant_kpis list.
No explicit allocation amounts shown in this table; amounts would need to be sourced from bond use-of-proceeds breakdown elsewhere in document.
[4] project: Green Power Grid Infrastructure: (no allocation)
Extraction notes:
Page 10 contains 7 solar PV projects aggregated into one Solar subcategory row: (1) 500MW agrivoltaic/fishery-solar (300MW phase, 67,704 MWh/year), (2) Xiehua Long 20MW centralized PV (31,172.4 MWh in 2021), (3) Qinghai Baineng 10MW grid-connected PV (15,340.9 MWh in 2021), (4) Yuhui Yujiaxian 30MW distributed PV (28,910.5 MWh/year), (5) Hainan Zhongshun 3MW distributed PV (4,000 MWh/year), (6) Guangdong Runuo 4.5MW distributed rooftop PV (4,600 MWh/year), (7) Wucheng 20MW poverty alleviation PV (27,554.9 MWh/year). Total capacity: 565.5 MW (300+20+10+30+3+4.5+20). Total generation: 178,281.7 MWh/year (67,704+31,172.4+15,340.9+28,910.5+4,000+4,600+27,554.9).
Clean Transportation: 770 GAC Aion BEV passenger vehicles under financial lease (sale-leaseback).
Infrastructure green upgrade: Urban power distribution grid project in Xingyi City, Guizhou - 10kV overhead lines 62.97km, 10kV cable 333.28km, 93 box transformers (41,025 kVA total), ring network cabinets, branch boxes, switches, 0.4kV lines. No quantitative KPIs mapped from relevant_kpis list.
No explicit allocation amounts shown in this table; amounts would need to be sourced from bond use-of-proceeds breakdown elsewhere in document.
[5] category: Renewable Energy: 0.00 CNY
Extraction notes:
Page shows project-level detail but no explicit per-category allocation amounts. Total bond proceeds of 80,000万元 (800M CNY) from first table allocated across 15 green projects: 5 wind, 8 solar, 1 EV leasing, 1 power grid. Renewable Energy capacity calculated from visible wind projects (443MW total) but solar project details incomplete (table cut off). Annual generation summed from 5 wind projects: 98,172 + 286,043 + 203,507 + 165,485 + 276,738.1 = 1,029,945.1 MWh. EV fleet size and exact solar capacity not visible on this page.
Table shows 9 projects across 3 ICMA categories but contains NO explicit allocation amounts. Per agent guidance, 800M CNY total is allocated across all green projects, but per-category breakdown is not provided. Renewable Energy: 7 solar projects with total capacity 563.5MW (500+20+10+30+3+4.5+20) and annual generation 179,081.8 MWh (67,704+31,172.4+15,340.9+28,910.5+4,000+4,600+27,554.9). Clean Transportation: 770 EVs. Infrastructure: grid upgrade with 41025kVA capacity. No GHG avoided data in table.
[6] category: Affordable Basic Infrastructure: (no allocation)
Extraction notes:
Page shows project-level detail but no explicit per-category allocation amounts. Total bond proceeds of 80,000万元 (800M CNY) from first table allocated across 15 green projects: 5 wind, 8 solar, 1 EV leasing, 1 power grid. Renewable Energy capacity calculated from visible wind projects (443MW total) but solar project details incomplete (table cut off). Annual generation summed from 5 wind projects: 98,172 + 286,043 + 203,507 + 165,485 + 276,738.1 = 1,029,945.1 MWh. EV fleet size and exact solar capacity not visible on this page.

Additional sources: https://source.arctal.ai/entities/china-kangfu-international-leasing-co-ltd/alloc-report__2024__trustee-management-china-kangfu-international-leasing-co__2025-06-XX__7873ee5ab527.pdf#page=10; https://source.arctal.ai/entities/china-kangfu-international-leasing-co-ltd/alloc-report__2024__trustee-management-china-kangfu-international-leasing-co__2025-06-XX__7873ee5ab527.pdf#page=8"
NZHNZD0230L2,1,Housing New Zealand,1150000000,NZD,722815839.09,Asia Pacific,New Zealand,NZ,New Zealand,229520000.0,NZD,144261470.77,1.0,"Sustainability category including work across all four eligible categories: new green public homes, retrofitting existing public homes, acquiring new housing from developers, and other existing homes; Social category expenditure under Affordable housing eligible category, including Public housing and Supported housing for those in need",https://source.arctal.ai/entities/kainga-ora-homes-and-communities/alloc-report__2023__kainga-ora-sustainable-finance-impact-2022-23-providing__unk-pub-date__645d74b974ef.pdf#page=13,"Allocation: 1,520,000,000.00 NZD (denom=portfolio, entry=aggregated) | BondShare: bond_amount 1,150,000,000 NZD / eligible_assets_total 7,600,000,000 NZD = bond_share 0.151000 | Scaled: 1,520,000,000.00 × bond_share 0.151000 = 229,520,000.00 | FX: NZD→USD ×0.628536 @2022-06-22 = 144,261,471 USD | Pct: 20.0%

Aggregated from 2 entries:
category: Green Buildings = 87,806,500.00 NZD
category: Affordable Housing = 141,713,500.00 NZD

Individual Extracted Value Reasoning:
[1] category: Green Buildings: 87,806,500.00 NZD
Extraction notes:
Page shows category-level allocation for FY2022/23. Sustainability (NZD 581.5M / 38%) mapped to Green Buildings; Social (NZD 938.5M / 62%) mapped to Affordable Housing. The Social category relates solely to Affordable housing eligible category per document. Amounts in $b: 0.58 and 0.94 are rounded; using precise values 0.5815 and 0.9385 from text. Total eligible capital expenditure is NZD 1.52 billion. Note: This is portfolio-level data (scope: per_portfolio), not specific to bond NZHNZD0230L2.
Page 12 shows portfolio-level summary only ($1.52B total proceeds). Category breakdown values (Sustainability $581.5M/38%, Social $938.5M/62%) are from page 13 as indicated in agent guidance. Sustainability mapped to ICMA 'Green Buildings', Social mapped to ICMA 'Affordable Housing'. Total $1,520M matches the $1.52B total proceeds available for allocation in FY2022/23.
Mapped 'Green buildings' to 'Green Buildings' entry with housing_units (808 Homestar certified homes). Mapped 'Affordable housing' to 'Affordable Housing' entry with beneficiaries (10,505 people housed) and housing_units (218 supported houses added). Mapped 'Socioeconomic advancement and empowerment' to 'Wellbeing Bond Programme' entry with jobs (123 apprenticeships). Mapped 'Pollution prevention and control' waste diversion tonnes to 'Wellbeing Bond Programme' entry with waste_treated (19,773 tonnes). Used 2023 as the reporting year from the 'Total 2023' column. Note: 'People housed' (10,505) mapped to beneficiaries; 'Supported houses added' (218) mapped to housing_units as additional housing units.
[2] category: Affordable Housing: 141,713,500.00 NZD
Extraction notes:
Page shows category-level allocation for FY2022/23. Sustainability (NZD 581.5M / 38%) mapped to Green Buildings; Social (NZD 938.5M / 62%) mapped to Affordable Housing. The Social category relates solely to Affordable housing eligible category per document. Amounts in $b: 0.58 and 0.94 are rounded; using precise values 0.5815 and 0.9385 from text. Total eligible capital expenditure is NZD 1.52 billion. Note: This is portfolio-level data (scope: per_portfolio), not specific to bond NZHNZD0230L2.
Page 12 shows portfolio-level summary only ($1.52B total proceeds). Category breakdown values (Sustainability $581.5M/38%, Social $938.5M/62%) are from page 13 as indicated in agent guidance. Sustainability mapped to ICMA 'Green Buildings', Social mapped to ICMA 'Affordable Housing'. Total $1,520M matches the $1.52B total proceeds available for allocation in FY2022/23.
Mapped 'Green buildings' to 'Green Buildings' entry with housing_units (808 Homestar certified homes). Mapped 'Affordable housing' to 'Affordable Housing' entry with beneficiaries (10,505 people housed) and housing_units (218 supported houses added). Mapped 'Socioeconomic advancement and empowerment' to 'Wellbeing Bond Programme' entry with jobs (123 apprenticeships). Mapped 'Pollution prevention and control' waste diversion tonnes to 'Wellbeing Bond Programme' entry with waste_treated (19,773 tonnes). Used 2023 as the reporting year from the 'Total 2023' column. Note: 'People housed' (10,505) mapped to beneficiaries; 'Supported houses added' (218) mapped to housing_units as additional housing units.

Additional sources: https://source.arctal.ai/entities/kainga-ora-homes-and-communities/alloc-report__2023__kainga-ora-sustainable-finance-impact-2022-23-providing__unk-pub-date__645d74b974ef.pdf#page=14"
MX91CM2S0009,1,Inversiones CMPC S.A.,1600000000,MXN,93434334.29,Latin America,Mexico,MX,Mexico,93434334.29146351,USD,93434334.29,1.0,"Circular Economy Adapted Products, Production Technologies and Processes and/or Certified Eco-Efficient Products; Sustainable Forest Management",https://source.arctal.ai/entities/cmpc/alloc-report__2023__cmpc-sustainable-financing-impact-detailing-impact-proceeds__2024-01-XX__7fa7c72f0dea.pdf#page=29,"Allocation: 95,060,000.00 USD (denom=bond, entry=aggregated) | Pct: 101.7%

Aggregated from 2 entries:
category: Eco-efficient & Circular Economy Adapted Products, Productio = 2,500,000.00 USD
category: Environmentally Sustainable Management of Living Natural Res = 92,560,000.00 USD

Individual Extracted Value Reasoning:
[1] category: Eco-efficient & Circular Economy Adapted Products, Productio: 2,500,000.00 USD
Extraction notes:
Extracted allocation for CMPC 23V MEXICO Green Bond (ISIN: MX91CM2S0017) only. Two ICMA categories: Circular Economy ($2.5M USD) and Sustainable Forest Management ($92.56M USD). Total allocated $95.06M USD matches bond proceeds of $94M USD (minor difference due to rounding/conversion timing). Unallocated proceeds for this bond is $0.
Page shows corporate sustainability targets with 2024 performance data. GHG footprint (1,548 ktCO2e) represents Scope 1 & 2 emissions. Biodiversity area (415,441 ha) is hectares of conservation. Waste treated (140,512 tonnes) is waste to landfill. These are group-level absolute values applied across all entries as portfolio-level KPIs. Water savings KPI not extracted as industrial water use shows consumption (m3/t) not savings. Trees planted not shown on this page.
Page 29 contains project-level KPIs for the Buin PV project (320 tCO2/year GHG avoided) and SLB projects (335 tCO2/year GHG avoided, 11,974 MWh/year energy savings). These are mapped to the category entry 'Eco-efficient & Circular Economy Adapted Products, Production Technologies & Processes', the bond-level entry 'CMPC 23V MEXICO – Green Bond', and the Chile region entry based on project locations. The energy_savings value of ~11,974 MWh/year is derived from the agent guidance and matches the Renewable Energy and Energy Efficiency projects described.
Mapped section 5 (zero waste to landfill) to 'Eco-efficient & Circular Economy Adapted Products, Production Technologies & Processes' based on waste/circular economy theme. Mapped section 6 (conservation hectares) to 'Environmentally Sustainable Management of Living Natural Resources & Land Use' based on land conservation/biodiversity theme. Both are portfolio-level absolute values for 2022.
Page shows proceeds allocation table with financial amounts but no explicit KPI values. Applied agent guidance: BioCMPC project target of 473 ktCO2 (473,000 tCO2e) as ghg_avoided and 12,000,000 trees_planted. Matched to Eco-efficient/Circular Economy category (where BioCMPC project is listed), the Green Bond entry, and Chile region entries. Year 2023 used from 'AS OF JULY 2023' header.
BioCMPC project impacts mapped to Eco-efficient & Circular Economy (production technology/process improvements) for GHG avoided, water savings, and waste/effluent reduction. Trees planted (12M estimated) mapped to Sustainable Management of Living Natural Resources. Water savings expressed as intensity reduction (2.3 m3/ton). Effluent reduction treated as waste_treated improvement (1.8 m3/ton reduction). Year 2023 used based on bond placement date.
[2] category: Environmentally Sustainable Management of Living Natural Res: 92,560,000.00 USD
Extraction notes:
Extracted allocation for CMPC 23V MEXICO Green Bond (ISIN: MX91CM2S0017) only. Two ICMA categories: Circular Economy ($2.5M USD) and Sustainable Forest Management ($92.56M USD). Total allocated $95.06M USD matches bond proceeds of $94M USD (minor difference due to rounding/conversion timing). Unallocated proceeds for this bond is $0.
Page shows corporate sustainability targets with 2024 performance data. GHG footprint (1,548 ktCO2e) represents Scope 1 & 2 emissions. Biodiversity area (415,441 ha) is hectares of conservation. Waste treated (140,512 tonnes) is waste to landfill. These are group-level absolute values applied across all entries as portfolio-level KPIs. Water savings KPI not extracted as industrial water use shows consumption (m3/t) not savings. Trees planted not shown on this page.
Table 5 (2023 Green Bond) shows Buin Photovoltaic Project with 320 tonnes CO2/year avoided - mapped to Renewable Energy entry with ghg_avoided and energy_savings. SLB projects show 335 tCO2/year avoided - mapped to Environmentally Sustainable Management of Living Natural Resources & Land Use with ghg_footprint. Table 6 (2024 Green Bond) shows water reduction of 1 m3/ton for Boxboard project - mapped to Sustainable Water and Wastewater Management with water_savings. The 2023 bond placement date is 2023-06-30, so 2023 data used for Table 5 and 2024 for Table 6.
Mapped section 5 (zero waste to landfill) to 'Eco-efficient & Circular Economy Adapted Products, Production Technologies & Processes' based on waste/circular economy theme. Mapped section 6 (conservation hectares) to 'Environmentally Sustainable Management of Living Natural Resources & Land Use' based on land conservation/biodiversity theme. Both are portfolio-level absolute values for 2022.
BioCMPC project impacts mapped to Eco-efficient & Circular Economy (production technology/process improvements) for GHG avoided, water savings, and waste/effluent reduction. Trees planted (12M estimated) mapped to Sustainable Management of Living Natural Resources. Water savings expressed as intensity reduction (2.3 m3/ton). Effluent reduction treated as waste_treated improvement (1.8 m3/ton reduction). Year 2023 used based on bond placement date. | Capped: USD sum 95,060,000 > bond_USD_amount 93,434,334 (from DB), ×0.9829

Additional sources: https://source.arctal.ai/entities/cmpc/alloc-report__2024__cmpc-april-2025-sustainable-financing-impact-details__2025-04-XX__086ac1226f99.pdf#page=5; https://source.arctal.ai/entities/cmpc/alloc-report__2024__cmpc-april-2025-sustainable-financing-impact-details__2025-04-XX__086ac1226f99.pdf#page=29; https://source.arctal.ai/entities/cmpc/alloc-report__2023__cmpc-sustainable-financing-impact-detailing-impact-proceeds__2024-01-XX__7fa7c72f0dea.pdf#page=6; https://source.arctal.ai/entities/cmpc/alloc-report__2023__cmpc-sustainable-financing-impact-detailing-impact-proceeds__2024-01-XX__7fa7c72f0dea.pdf#page=23; https://source.arctal.ai/entities/cmpc/alloc-report__2023__cmpc-sustainable-financing-impact-detailing-impact-proceeds__2024-01-XX__7fa7c72f0dea.pdf#page=24; https://source.arctal.ai/entities/cmpc/alloc-report__2024__cmpc-april-2025-sustainable-financing-impact-details__2025-04-XX__086ac1226f99.pdf#page=28"
US46143NAB64,1,Investment Energy Resources,700000000,USD,700000000.0,Latin America,Guatemala,GT,Guatemala,301010963.97550905,USD,301010963.98,0.430016,"Hydropower plants (Santa Teresa, Renace) and distributed generation (IELOU)",https://source.arctal.ai/entities/investment-energy-resources-corporacion-multi-inve/alloc-report__2025__sustainalytics-fourth-review-2026-impact-reporting-cmi__2026-02-18__ff3e5182a29b.pdf#page=5,"Allocation: 302,000,000.00 USD (denom=bond, entry=region_x_category) | Pct: 43.1% | Capped: USD sum 702,300,000 > bond_USD_amount 700,000,000 (from DB), ×0.9967

Extraction notes:
Aggregated 11 projects into 6 country rows. Guatemala: Santa Teresa (12.4M) + Renace (289.6M) + IELOU portion (0.9M OPEX + 1.3M CAPEX allocated to Guatemala per footnote 15, but IELOU total is 2.2M split across Guatemala/El Salvador/Honduras/Nicaragua; using guidance figures: Guatemala 302.0M total. Costa Rica: Alisios Plants (177.6M) + Orosi (25.5M) + PESRL (3.2M) = 206.3M. Honduras: CdH (61.6M) + Choluteca (29.5M) = 91.1M. Dominican Republic: Mata de Palma (70.7M). Nicaragua: Eolo (27.8M). El Salvador: IELOU portion (2.2M). Percentages from guidance: Guatemala 43%, Costa Rica 29%, Honduras 13%, Dominican Republic 10%, Nicaragua 4%, El Salvador <1%."
US46143NAB64,2,Investment Energy Resources,700000000,USD,700000000.0,Latin America,Costa Rica,CR,Costa Rica,205624377.0468461,USD,205624377.05,0.293749,"Wind farms (Alisios Plants, Orosi, PESRL)",https://source.arctal.ai/entities/investment-energy-resources-corporacion-multi-inve/alloc-report__2025__sustainalytics-fourth-review-2026-impact-reporting-cmi__2026-02-18__ff3e5182a29b.pdf#page=5,"Allocation: 206,300,000.00 USD (denom=bond, entry=region_x_category) | Pct: 29.5% | Capped: USD sum 702,300,000 > bond_USD_amount 700,000,000 (from DB), ×0.9967

Extraction notes:
Aggregated 11 projects into 6 country rows. Guatemala: Santa Teresa (12.4M) + Renace (289.6M) + IELOU portion (0.9M OPEX + 1.3M CAPEX allocated to Guatemala per footnote 15, but IELOU total is 2.2M split across Guatemala/El Salvador/Honduras/Nicaragua; using guidance figures: Guatemala 302.0M total. Costa Rica: Alisios Plants (177.6M) + Orosi (25.5M) + PESRL (3.2M) = 206.3M. Honduras: CdH (61.6M) + Choluteca (29.5M) = 91.1M. Dominican Republic: Mata de Palma (70.7M). Nicaragua: Eolo (27.8M). El Salvador: IELOU portion (2.2M). Percentages from guidance: Guatemala 43%, Costa Rica 29%, Honduras 13%, Dominican Republic 10%, Nicaragua 4%, El Salvador <1%."
US46143NAB64,3,Investment Energy Resources,700000000,USD,700000000.0,Latin America,Honduras,HN,Honduras,90801651.71579097,USD,90801651.72,0.129717,Wind farm (CdH) and solar plant (Choluteca),https://source.arctal.ai/entities/investment-energy-resources-corporacion-multi-inve/alloc-report__2025__sustainalytics-fourth-review-2026-impact-reporting-cmi__2026-02-18__ff3e5182a29b.pdf#page=5,"Allocation: 91,100,000.00 USD (denom=bond, entry=region_x_category) | Pct: 13.0% | Capped: USD sum 702,300,000 > bond_USD_amount 700,000,000 (from DB), ×0.9967

Extraction notes:
Aggregated 11 projects into 6 country rows. Guatemala: Santa Teresa (12.4M) + Renace (289.6M) + IELOU portion (0.9M OPEX + 1.3M CAPEX allocated to Guatemala per footnote 15, but IELOU total is 2.2M split across Guatemala/El Salvador/Honduras/Nicaragua; using guidance figures: Guatemala 302.0M total. Costa Rica: Alisios Plants (177.6M) + Orosi (25.5M) + PESRL (3.2M) = 206.3M. Honduras: CdH (61.6M) + Choluteca (29.5M) = 91.1M. Dominican Republic: Mata de Palma (70.7M). Nicaragua: Eolo (27.8M). El Salvador: IELOU portion (2.2M). Percentages from guidance: Guatemala 43%, Costa Rica 29%, Honduras 13%, Dominican Republic 10%, Nicaragua 4%, El Salvador <1%."
US46143NAB64,4,Investment Energy Resources,700000000,USD,700000000.0,Latin America,Dominican Republic,DO,Dominican Republic,70468460.77174997,USD,70468460.77,0.100669,Solar plant (Mata de Palma),https://source.arctal.ai/entities/investment-energy-resources-corporacion-multi-inve/alloc-report__2025__sustainalytics-fourth-review-2026-impact-reporting-cmi__2026-02-18__ff3e5182a29b.pdf#page=5,"Allocation: 70,700,000.00 USD (denom=bond, entry=region_x_category) | Pct: 10.1% | Capped: USD sum 702,300,000 > bond_USD_amount 700,000,000 (from DB), ×0.9967

Extraction notes:
Aggregated 11 projects into 6 country rows. Guatemala: Santa Teresa (12.4M) + Renace (289.6M) + IELOU portion (0.9M OPEX + 1.3M CAPEX allocated to Guatemala per footnote 15, but IELOU total is 2.2M split across Guatemala/El Salvador/Honduras/Nicaragua; using guidance figures: Guatemala 302.0M total. Costa Rica: Alisios Plants (177.6M) + Orosi (25.5M) + PESRL (3.2M) = 206.3M. Honduras: CdH (61.6M) + Choluteca (29.5M) = 91.1M. Dominican Republic: Mata de Palma (70.7M). Nicaragua: Eolo (27.8M). El Salvador: IELOU portion (2.2M). Percentages from guidance: Guatemala 43%, Costa Rica 29%, Honduras 13%, Dominican Republic 10%, Nicaragua 4%, El Salvador <1%."
US46143NAB64,5,Investment Energy Resources,700000000,USD,700000000.0,Latin America,Nicaragua,NI,Nicaragua,27708956.286487255,USD,27708956.29,0.039584,Wind farm (Eolo),https://source.arctal.ai/entities/investment-energy-resources-corporacion-multi-inve/alloc-report__2025__sustainalytics-fourth-review-2026-impact-reporting-cmi__2026-02-18__ff3e5182a29b.pdf#page=5,"Allocation: 27,800,000.00 USD (denom=bond, entry=region_x_category) | Pct: 4.0% | Capped: USD sum 702,300,000 > bond_USD_amount 700,000,000 (from DB), ×0.9967

Extraction notes:
Aggregated 11 projects into 6 country rows. Guatemala: Santa Teresa (12.4M) + Renace (289.6M) + IELOU portion (0.9M OPEX + 1.3M CAPEX allocated to Guatemala per footnote 15, but IELOU total is 2.2M split across Guatemala/El Salvador/Honduras/Nicaragua; using guidance figures: Guatemala 302.0M total. Costa Rica: Alisios Plants (177.6M) + Orosi (25.5M) + PESRL (3.2M) = 206.3M. Honduras: CdH (61.6M) + Choluteca (29.5M) = 91.1M. Dominican Republic: Mata de Palma (70.7M). Nicaragua: Eolo (27.8M). El Salvador: IELOU portion (2.2M). Percentages from guidance: Guatemala 43%, Costa Rica 29%, Honduras 13%, Dominican Republic 10%, Nicaragua 4%, El Salvador <1%."
US46143NAB64,6,Investment Energy Resources,700000000,USD,700000000.0,Global,,,El Salvador,2192795.101808344,USD,2192795.1,0.003133,Distributed generation (IELOU),https://source.arctal.ai/entities/investment-energy-resources-corporacion-multi-inve/alloc-report__2025__sustainalytics-fourth-review-2026-impact-reporting-cmi__2026-02-18__ff3e5182a29b.pdf#page=5,"Allocation: 2,200,000.00 USD (denom=bond, entry=region_x_category) | Pct: 0.3% | Capped: USD sum 702,300,000 > bond_USD_amount 700,000,000 (from DB), ×0.9967

Extraction notes:
Aggregated 11 projects into 6 country rows. Guatemala: Santa Teresa (12.4M) + Renace (289.6M) + IELOU portion (0.9M OPEX + 1.3M CAPEX allocated to Guatemala per footnote 15, but IELOU total is 2.2M split across Guatemala/El Salvador/Honduras/Nicaragua; using guidance figures: Guatemala 302.0M total. Costa Rica: Alisios Plants (177.6M) + Orosi (25.5M) + PESRL (3.2M) = 206.3M. Honduras: CdH (61.6M) + Choluteca (29.5M) = 91.1M. Dominican Republic: Mata de Palma (70.7M). Nicaragua: Eolo (27.8M). El Salvador: IELOU portion (2.2M). Percentages from guidance: Guatemala 43%, Costa Rica 29%, Honduras 13%, Dominican Republic 10%, Nicaragua 4%, El Salvador <1%."
US46143NAB64,7,Investment Energy Resources,700000000,USD,700000000.0,Global,,,Guatemala/El Salvador,2192795.101808344,USD,2192795.1,0.003133,Distributed solar generation on rooftops of CMI Group affiliate facilities,https://source.arctal.ai/entities/investment-energy-resources-corporacion-multi-inve/alloc-report__2025__sustainalytics-fourth-review-2026-impact-reporting-cmi__2026-02-18__ff3e5182a29b.pdf#page=5,"Allocation: 2,200,000.00 USD (denom=bond, entry=aggregated) | Pct: 0.3% | Capped: USD sum 702,300,000 > bond_USD_amount 700,000,000 (from DB), ×0.9967

Aggregated from 1 entries:
project: IELOU = 2,200,000.00 USD"
JP304451AP17,1,TOKYU REIT,3000000000,JPY,22978430.45,Asia Pacific,Japan,JP,Japan,3000000000.57951,JPY,22978430.45,1.0,Green certified buildings and renovation work,https://source.arctal.ai/entities/tokyu-reit-inc/alloc-report__2024__tokyu-reit-fy2024-sustainability-including-dedicated-green__2025-08-XX__ae35c547f05c.pdf#page=58,"Allocation: 26,000,000,000.00 JPY (denom=portfolio, entry=aggregated) | BondShare: bond_amount 3,000,000,000 JPY / eligible_assets_total 26,000,000,000 JPY = bond_share 0.115400 | Scaled: 26,000,000,000.00 × bond_share 0.115400 = 3,000,400,000.00 | FX: JPY→USD ×0.007659 @2023-01-23 = 22,981,494 USD | Pct: 100.0% | Capped: USD sum 22,981,494 > bond_USD_amount 22,978,430 (from DB), ×0.9999

Aggregated from 1 entries:
category: Green Buildings = 3,000,400,000.00 JPY

Additional sources: https://source.arctal.ai/entities/tokyu-reit-inc/alloc-report__2024__tokyu-reit-fy2024-sustainability-including-dedicated-green__2025-08-XX__ae35c547f05c.pdf#page=60"
