isin,per_isin_id,issuer_name,bond_amount,bond_currency,bond_USD_amount,post_icma_category,impact_metric,impact_type,impact_value,impact_unit,impact_per_million_USD,review_notes,post_source_detail,source_trail
XS2168683824,1,JP Morgan,80000000,EUR,91224214.65,Bond-Wide,Installed renewable energy capacity,Environmental,80.424,MW,0.881608,,https://source.arctal.ai/entities/jpmorgan-chase/alloc-report__2025__jpmorganchase-sustainable-bond-detailing-2-37b-outstanding__unk-pub-date__fb329160f040.pdf#page=4,"StandardMetric: true | StandardUnit: true | PerMillionUSD: portfolio-level 2,234.00 MW × bond_share 0.036000 = bond 80,000,000 EUR / eligible assets 2,370,000,000 EUR = 80.42 MW; 80.42 / 91.2M USD = 0.88 MW/$M

Extraction notes:
JPM share of total 8,127 MW (portfolio-level). Source: p4 table 'JPMorganChase's share of expected impact'"
XS2168683824,2,JP Morgan,80000000,EUR,91224214.65,Bond-Wide,Annual renewable energy generation,Environmental,261540.0,MWh,2867.001936,,https://source.arctal.ai/entities/jpmorgan-chase/alloc-report__2025__jpmorganchase-sustainable-bond-detailing-2-37b-outstanding__unk-pub-date__fb329160f040.pdf#page=4,"StandardMetric: true | StandardUnit: true | PerMillionUSD: portfolio-level 7,265,000.00 MWh × bond_share 0.036000 = bond 80,000,000 EUR / eligible assets 2,370,000,000 EUR = 261,540.00 MWh; 261,540.00 / 91.2M USD = 2,867.00 MWh/$M

Extraction notes:
JPM share: 7,265 GWh → 7,265,000 MWh (portfolio-level). Source: p4"
XS2168683824,3,JP Morgan,80000000,EUR,91224214.65,Bond-Wide,Annual GHG emissions reduced/avoided/sequestered,Environmental,152964.0,tCO2e,1676.791635,,https://source.arctal.ai/entities/jpmorgan-chase/alloc-report__2025__jpmorganchase-sustainable-bond-detailing-2-37b-outstanding__unk-pub-date__fb329160f040.pdf#page=4,"StandardMetric: true | StandardUnit: true | PerMillionUSD: portfolio-level 4,249,000.00 tCO2e × bond_share 0.036000 = bond 80,000,000 EUR / eligible assets 2,370,000,000 EUR = 152,964.00 tCO2e; 152,964.00 / 91.2M USD = 1,676.79 tCO2e/$M

Extraction notes:
JPM share: 4,683,529 short tons × 0.907185 = 4,249,000 tCO2e (portfolio-level). Source: p4, converted from U.S. short tons"
XS2168683824,4,JP Morgan,80000000,EUR,91224214.65,Renewable Energy,Installed renewable energy capacity,Environmental,42.732,MW,0.468428,,https://source.arctal.ai/entities/jpmorgan-chase/alloc-report__2025__jpmorganchase-sustainable-bond-detailing-2-37b-outstanding__unk-pub-date__fb329160f040.pdf#page=4,"StandardMetric: true | StandardUnit: true | PerMillionUSD: 1,187.00 MW (from source, entry=subcategory) × bond_share 0.036000 = 42.73 MW; 42.73 / 91.2M USD = 0.47 MW/$M

Extraction notes:
JPM share (portfolio-level). Source: p4"
XS2168683824,5,JP Morgan,80000000,EUR,91224214.65,Renewable Energy,Annual renewable energy generation,Environmental,152784.0,MWh,1674.818474,,https://source.arctal.ai/entities/jpmorgan-chase/alloc-report__2025__jpmorganchase-sustainable-bond-detailing-2-37b-outstanding__unk-pub-date__fb329160f040.pdf#page=4,"StandardMetric: true | StandardUnit: true | PerMillionUSD: 4,244,000.00 MWh (from source, entry=subcategory) × bond_share 0.036000 = 152,784.00 MWh; 152,784.00 / 91.2M USD = 1,674.82 MWh/$M

Extraction notes:
JPM share: 4,244 GWh → 4,244,000 MWh (portfolio-level). Source: p4"
XS2168683824,6,JP Morgan,80000000,EUR,91224214.65,Renewable Energy,Installed renewable energy capacity,Environmental,3.636,MW,0.039858,,https://source.arctal.ai/entities/jpmorgan-chase/alloc-report__2025__jpmorganchase-sustainable-bond-detailing-2-37b-outstanding__unk-pub-date__fb329160f040.pdf#page=4,"StandardMetric: true | StandardUnit: true | PerMillionUSD: 101.00 MW (from source, entry=subcategory) × bond_share 0.036000 = 3.64 MW; 3.64 / 91.2M USD = 0.04 MW/$M

Extraction notes:
JPM share (portfolio-level). Source: p4"
XS2168683824,7,JP Morgan,80000000,EUR,91224214.65,Renewable Energy,Annual renewable energy generation,Environmental,5976.0,MWh,65.508922,,https://source.arctal.ai/entities/jpmorgan-chase/alloc-report__2025__jpmorganchase-sustainable-bond-detailing-2-37b-outstanding__unk-pub-date__fb329160f040.pdf#page=4,"StandardMetric: true | StandardUnit: true | PerMillionUSD: 166,000.00 MWh (from source, entry=subcategory) × bond_share 0.036000 = 5,976.00 MWh; 5,976.00 / 91.2M USD = 65.51 MWh/$M

Extraction notes:
JPM share: 166 GWh → 166,000 MWh (portfolio-level). Source: p4"
XS2168683824,8,JP Morgan,80000000,EUR,91224214.65,Renewable Energy,Installed renewable energy capacity,Environmental,34.056,MW,0.373322,,https://source.arctal.ai/entities/jpmorgan-chase/alloc-report__2025__jpmorganchase-sustainable-bond-detailing-2-37b-outstanding__unk-pub-date__fb329160f040.pdf#page=4,"StandardMetric: true | StandardUnit: true | PerMillionUSD: 946.00 MW (from source, entry=subcategory) × bond_share 0.036000 = 34.06 MW; 34.06 / 91.2M USD = 0.37 MW/$M

Extraction notes:
JPM share (portfolio-level). Source: p4"
XS2168683824,9,JP Morgan,80000000,EUR,91224214.65,Renewable Energy,Annual renewable energy generation,Environmental,102780.0,MWh,1126.674539,,https://source.arctal.ai/entities/jpmorgan-chase/alloc-report__2025__jpmorganchase-sustainable-bond-detailing-2-37b-outstanding__unk-pub-date__fb329160f040.pdf#page=4,"StandardMetric: true | StandardUnit: true | PerMillionUSD: 2,855,000.00 MWh (from source, entry=subcategory) × bond_share 0.036000 = 102,780.00 MWh; 102,780.00 / 91.2M USD = 1,126.67 MWh/$M

Extraction notes:
JPM share: 2,855 GWh → 2,855,000 MWh (portfolio-level). Source: p4"
XS2168683824,10,JP Morgan,80000000,EUR,91224214.65,Renewable Energy,Number of jobs created/retained,Social,8.64,jobs,0.094712,,https://source.arctal.ai/entities/jpmorgan-chase/alloc-report__2025__jpmorganchase-sustainable-bond-detailing-2-37b-outstanding__unk-pub-date__fb329160f040.pdf#page=5,"StandardMetric: true | StandardUnit: true | PerMillionUSD: 240.00 jobs (from source, entry=case_study) × bond_share 0.036000 = 8.64 jobs; 8.64 / 91.2M USD = 0.09 jobs/$M

Extraction notes:
Local union jobs during construction (combined for both projects). Source: p5"
XS2168683824,11,JP Morgan,80000000,EUR,91224214.65,Renewable Energy,Households served,Social,273.6,households,2.999204,,https://source.arctal.ai/entities/jpmorgan-chase/alloc-report__2025__jpmorganchase-sustainable-bond-detailing-2-37b-outstanding__unk-pub-date__fb329160f040.pdf#page=5,"StandardMetric: true | StandardUnit: true | PerMillionUSD: 7,600.00 households (from source, entry=case_study) × bond_share 0.036000 = 273.60 households; 273.60 / 91.2M USD = 3.00 households/$M

Extraction notes:
Waiawa project only - homes served annually (project-specific). Source: p5"
XS3358268251,1,Svenska Handelsbanken,1000000000,EUR,1170565311.26,Energy Efficiency,Annual energy savings,Environmental,9547.92,MWh,8.156674,"Trail mentions 'mapped to Pollution prevention and control category' but the impact is assigned to Energy Efficiency. Possible category misattribution in source mapping. Math is correct: 53,044 × 0.18 = 9,547.92.",https://source.arctal.ai/entities/svenska-handelsbanken-ab/alloc-report__2024__unk-slug__unk-pub-date__8f99040de0d4.pdf#page=12,"StandardMetric: true | StandardUnit: true | PerMillionUSD: 53,044.00 MWh (from source, entry=category) × bond_share 0.180000 = 9,547.92 MWh; 9,547.92 / 1,170.6M USD = 8.16 MWh/$M

Extraction notes:
Extracted 8 category rows from Green Bonds allocation table as requested
Climate change adaptation category shows no disbursements (all values are '-')
Total disbursed amount: 3,250,000,000 EUR
Total GHG emissions avoided: 164,313 tCO2e
Renewable Energy split into two rows: Wind Energy (49.3M EUR) and Solar/Hydro/Geothermal (9.8M EUR)
Clean transportation includes both public transport (43.3M EUR) and zero emissions vehicles (55.9M EUR)
Pollution prevention and control includes waste to energy (36.5M EUR) and waste management (35.8M EUR)
Some GHG values are expected/estimated as noted in footnotes
All KPIs successfully mapped to existing entries. Energy efficiency shows 'Annual energy transmitted' of 124,832 MWh but this doesn't match any valid KPI (not energy_savings which is listed separately as 53,044 MWh). Green buildings shows energy savings of 53,044 MWh which matches the total. Water treated value is annual (1,519,353 m³). Certified Forest area (186,562 Ha) mapped to biodiversity_area under Environmentally sustainable management category. Renewable energy generation values mapped to respective wind and solar/hydro/geothermal subcategories. Waste to energy generation (364,079 MWh) mapped to Pollution prevention and control category.

Additional sources: https://source.arctal.ai/entities/svenska-handelsbanken-ab/alloc-report__2024__unk-slug__unk-pub-date__8f99040de0d4.pdf#page=13"
XS3358268251,2,Svenska Handelsbanken,1000000000,EUR,1170565311.26,Environmentally Sustainable Management of Living Natural Resources & Land Use,Area under biodiversity management,Environmental,33581.16,ha,28.687985,"Trail mentions 'mapped to Pollution prevention and control category' but impact is assigned to Environmentally Sustainable Management. Possible category misattribution. Math is correct: 186,562 × 0.18 = 33,581.16.",https://source.arctal.ai/entities/svenska-handelsbanken-ab/alloc-report__2024__unk-slug__unk-pub-date__8f99040de0d4.pdf#page=12,"StandardMetric: true | StandardUnit: true | PerMillionUSD: 186,562.00 ha (from source, entry=category) × bond_share 0.180000 = 33,581.16 ha; 33,581.16 / 1,170.6M USD = 28.69 ha/$M

Extraction notes:
Extracted 8 category rows from Green Bonds allocation table as requested
Climate change adaptation category shows no disbursements (all values are '-')
Total disbursed amount: 3,250,000,000 EUR
Total GHG emissions avoided: 164,313 tCO2e
Renewable Energy split into two rows: Wind Energy (49.3M EUR) and Solar/Hydro/Geothermal (9.8M EUR)
Clean transportation includes both public transport (43.3M EUR) and zero emissions vehicles (55.9M EUR)
Pollution prevention and control includes waste to energy (36.5M EUR) and waste management (35.8M EUR)
Some GHG values are expected/estimated as noted in footnotes
All KPIs successfully mapped to existing entries. Energy efficiency shows 'Annual energy transmitted' of 124,832 MWh but this doesn't match any valid KPI (not energy_savings which is listed separately as 53,044 MWh). Green buildings shows energy savings of 53,044 MWh which matches the total. Water treated value is annual (1,519,353 m³). Certified Forest area (186,562 Ha) mapped to biodiversity_area under Environmentally sustainable management category. Renewable energy generation values mapped to respective wind and solar/hydro/geothermal subcategories. Waste to energy generation (364,079 MWh) mapped to Pollution prevention and control category.

Additional sources: https://source.arctal.ai/entities/svenska-handelsbanken-ab/alloc-report__2024__unk-slug__unk-pub-date__8f99040de0d4.pdf#page=13"
XS3358268251,3,Svenska Handelsbanken,1000000000,EUR,1170565311.26,Pollution Prevention and Control,Annual renewable energy generation,Environmental,65534.22,MWh,55.985103,"Metric 'Annual renewable energy generation' seems misattributed to Pollution Prevention and Control category. This metric typically belongs to Renewable Energy. Math is correct: 364,079 × 0.18 = 65,534.22.",https://source.arctal.ai/entities/svenska-handelsbanken-ab/alloc-report__2024__unk-slug__unk-pub-date__8f99040de0d4.pdf#page=12,"StandardMetric: true | StandardUnit: true | PerMillionUSD: 364,079.00 MWh (from source, entry=category) × bond_share 0.180000 = 65,534.22 MWh; 65,534.22 / 1,170.6M USD = 55.99 MWh/$M

Extraction notes:
Extracted 8 category rows from Green Bonds allocation table as requested
Climate change adaptation category shows no disbursements (all values are '-')
Total disbursed amount: 3,250,000,000 EUR
Total GHG emissions avoided: 164,313 tCO2e
Renewable Energy split into two rows: Wind Energy (49.3M EUR) and Solar/Hydro/Geothermal (9.8M EUR)
Clean transportation includes both public transport (43.3M EUR) and zero emissions vehicles (55.9M EUR)
Pollution prevention and control includes waste to energy (36.5M EUR) and waste management (35.8M EUR)
Some GHG values are expected/estimated as noted in footnotes
All KPIs successfully mapped to existing entries. Energy efficiency shows 'Annual energy transmitted' of 124,832 MWh but this doesn't match any valid KPI (not energy_savings which is listed separately as 53,044 MWh). Green buildings shows energy savings of 53,044 MWh which matches the total. Water treated value is annual (1,519,353 m³). Certified Forest area (186,562 Ha) mapped to biodiversity_area under Environmentally sustainable management category. Renewable energy generation values mapped to respective wind and solar/hydro/geothermal subcategories. Waste to energy generation (364,079 MWh) mapped to Pollution prevention and control category.

Additional sources: https://source.arctal.ai/entities/svenska-handelsbanken-ab/alloc-report__2024__unk-slug__unk-pub-date__8f99040de0d4.pdf#page=13"
XS3358268251,4,Svenska Handelsbanken,1000000000,EUR,1170565311.26,Renewable Energy,Annual renewable energy generation,Environmental,21186.54,MWh,18.099409,"Trail mentions 'mapped to Pollution prevention and control category' but impact is assigned to Renewable Energy. Math is correct: 117,703 × 0.18 = 21,186.54.",https://source.arctal.ai/entities/svenska-handelsbanken-ab/alloc-report__2024__unk-slug__unk-pub-date__8f99040de0d4.pdf#page=12,"StandardMetric: true | StandardUnit: true | PerMillionUSD: 117,703.00 MWh (from source, entry=subcategory) × bond_share 0.180000 = 21,186.54 MWh; 21,186.54 / 1,170.6M USD = 18.10 MWh/$M

Extraction notes:
Extracted 8 category rows from Green Bonds allocation table as requested
Climate change adaptation category shows no disbursements (all values are '-')
Total disbursed amount: 3,250,000,000 EUR
Total GHG emissions avoided: 164,313 tCO2e
Renewable Energy split into two rows: Wind Energy (49.3M EUR) and Solar/Hydro/Geothermal (9.8M EUR)
Clean transportation includes both public transport (43.3M EUR) and zero emissions vehicles (55.9M EUR)
Pollution prevention and control includes waste to energy (36.5M EUR) and waste management (35.8M EUR)
Some GHG values are expected/estimated as noted in footnotes
All KPIs successfully mapped to existing entries. Energy efficiency shows 'Annual energy transmitted' of 124,832 MWh but this doesn't match any valid KPI (not energy_savings which is listed separately as 53,044 MWh). Green buildings shows energy savings of 53,044 MWh which matches the total. Water treated value is annual (1,519,353 m³). Certified Forest area (186,562 Ha) mapped to biodiversity_area under Environmentally sustainable management category. Renewable energy generation values mapped to respective wind and solar/hydro/geothermal subcategories. Waste to energy generation (364,079 MWh) mapped to Pollution prevention and control category.

Additional sources: https://source.arctal.ai/entities/svenska-handelsbanken-ab/alloc-report__2024__unk-slug__unk-pub-date__8f99040de0d4.pdf#page=13"
XS3358268251,5,Svenska Handelsbanken,1000000000,EUR,1170565311.26,Renewable Energy,Annual renewable energy generation,Environmental,1224.72,MWh,1.046264,"Trail mentions 'mapped to Pollution prevention and control category' but impact is assigned to Renewable Energy. Math is correct: 6,804 × 0.18 = 1,224.72.",https://source.arctal.ai/entities/svenska-handelsbanken-ab/alloc-report__2024__unk-slug__unk-pub-date__8f99040de0d4.pdf#page=12,"StandardMetric: true | StandardUnit: true | PerMillionUSD: 6,804.00 MWh (from source, entry=subcategory) × bond_share 0.180000 = 1,224.72 MWh; 1,224.72 / 1,170.6M USD = 1.05 MWh/$M

Extraction notes:
Extracted 8 category rows from Green Bonds allocation table as requested
Climate change adaptation category shows no disbursements (all values are '-')
Total disbursed amount: 3,250,000,000 EUR
Total GHG emissions avoided: 164,313 tCO2e
Renewable Energy split into two rows: Wind Energy (49.3M EUR) and Solar/Hydro/Geothermal (9.8M EUR)
Clean transportation includes both public transport (43.3M EUR) and zero emissions vehicles (55.9M EUR)
Pollution prevention and control includes waste to energy (36.5M EUR) and waste management (35.8M EUR)
Some GHG values are expected/estimated as noted in footnotes
All KPIs successfully mapped to existing entries. Energy efficiency shows 'Annual energy transmitted' of 124,832 MWh but this doesn't match any valid KPI (not energy_savings which is listed separately as 53,044 MWh). Green buildings shows energy savings of 53,044 MWh which matches the total. Water treated value is annual (1,519,353 m³). Certified Forest area (186,562 Ha) mapped to biodiversity_area under Environmentally sustainable management category. Renewable energy generation values mapped to respective wind and solar/hydro/geothermal subcategories. Waste to energy generation (364,079 MWh) mapped to Pollution prevention and control category.

Additional sources: https://source.arctal.ai/entities/svenska-handelsbanken-ab/alloc-report__2024__unk-slug__unk-pub-date__8f99040de0d4.pdf#page=13"
XS3358268251,6,Svenska Handelsbanken,1000000000,EUR,1170565311.26,Sustainable Water and Wastewater Management,Volume of water treated,Environmental,273483.54,m³,233.63373,"Trail mentions 'mapped to Pollution prevention and control category' but impact is assigned to Sustainable Water and Wastewater Management. Math is correct: 1,519,353 × 0.18 = 273,483.54.",https://source.arctal.ai/entities/svenska-handelsbanken-ab/alloc-report__2024__unk-slug__unk-pub-date__8f99040de0d4.pdf#page=12,"StandardMetric: true | StandardUnit: true | PerMillionUSD: 1,519,353.00 m³ (from source, entry=category) × bond_share 0.180000 = 273,483.54 m³; 273,483.54 / 1,170.6M USD = 233.63 m³/$M

Extraction notes:
Extracted 8 category rows from Green Bonds allocation table as requested
Climate change adaptation category shows no disbursements (all values are '-')
Total disbursed amount: 3,250,000,000 EUR
Total GHG emissions avoided: 164,313 tCO2e
Renewable Energy split into two rows: Wind Energy (49.3M EUR) and Solar/Hydro/Geothermal (9.8M EUR)
Clean transportation includes both public transport (43.3M EUR) and zero emissions vehicles (55.9M EUR)
Pollution prevention and control includes waste to energy (36.5M EUR) and waste management (35.8M EUR)
Some GHG values are expected/estimated as noted in footnotes
All KPIs successfully mapped to existing entries. Energy efficiency shows 'Annual energy transmitted' of 124,832 MWh but this doesn't match any valid KPI (not energy_savings which is listed separately as 53,044 MWh). Green buildings shows energy savings of 53,044 MWh which matches the total. Water treated value is annual (1,519,353 m³). Certified Forest area (186,562 Ha) mapped to biodiversity_area under Environmentally sustainable management category. Renewable energy generation values mapped to respective wind and solar/hydro/geothermal subcategories. Waste to energy generation (364,079 MWh) mapped to Pollution prevention and control category.

Additional sources: https://source.arctal.ai/entities/svenska-handelsbanken-ab/alloc-report__2024__unk-slug__unk-pub-date__8f99040de0d4.pdf#page=13"
XS3358268251,7,Svenska Handelsbanken,1000000000,EUR,1170565311.26,Green Buildings,Green building area,Environmental,242259.3,m²,206.959234,,https://source.arctal.ai/entities/svenska-handelsbanken-ab/alloc-report__2024__unk-slug__unk-pub-date__8f99040de0d4.pdf#page=14,"StandardMetric: true | StandardUnit: true | PerMillionUSD: 1,345,885.00 m² (from source, entry=category) × bond_share 0.180000 = 242,259.30 m²; 242,259.30 / 1,170.6M USD = 206.96 m²/$M"
XS3358268251,8,Svenska Handelsbanken,1000000000,EUR,1170565311.26,Green Buildings,Annual energy savings,Environmental,7524.0,MWh,6.427664,,https://source.arctal.ai/entities/svenska-handelsbanken-ab/alloc-report__2024__unk-slug__unk-pub-date__8f99040de0d4.pdf#page=14,"StandardMetric: true | StandardUnit: true | PerMillionUSD: 41,800.00 MWh (from source, entry=category) × bond_share 0.180000 = 7,524.00 MWh; 7,524.00 / 1,170.6M USD = 6.43 MWh/$M"
